,PC1,PC2,PC3
wind_mean_annual,-0.24753450712503924,-0.0524902285664197,0.6436752147734449
rh_mean_annual,0.48867513309523936,-0.21694925639061483,-0.05007519179883957
swrad_mean_annual,-0.15132799002400021,0.5713590652198054,0.07969681784999404
tas_mean_DJF,0.12795059595057115,0.5645714319882879,0.15891901357026217
tas_mean_JJA,0.03229352302168115,0.5334737774214244,-0.30993694738819594
prcp_sum_DJF,0.3867021491302617,0.13018763394442648,0.4430622840271119
prcp_sum_MAM,0.43830643054829266,0.020468358830771718,0.10368908998609296
prcp_sum_JJA,0.3730195892751127,0.04174222089731268,-0.40813467803660247
prcp_sum_SON,0.42286428283058974,0.03579462087311927,0.28614229977633376
